"MOVIE_ID","DIRECTOR_NAME","GENRE","MOVIE_NAME","RATING","SUMMARY","YEAR"
"12","David Fincher","Drama","The Curious Case of Benjamin Button","7.8","Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences.","2008"
"13","David Fincher","Drama","The Social Network","7.7","As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea, and by the co-founder who was later squeezed out of the business.","2010"
"14","David Fincher","Thriller","The Girl with the Dragon Tattoo","7.8","Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.","2011"
"15","David Fincher","Thriller","Gone Girl","8.1","With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","2014"
"28","Martin Scorsese","Thriller","The Departed","8.5","An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.","2006"
"29","Martin Scorsese","Thriller","Shutter Island","8.1","In 1954, a U.S. Marshal investigates the disappearance of a murderer, who escaped from a hospital for the criminally insane.","2010"
"30","Martin Scorsese","Comedy","The Wolf of Wall Street","8.2","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","2013"
"31","Martin Scorsese","Drama","Silence","7.2","In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism.","2016"
"32","Christopher Nolan","Thriller","Following","7.5","A young writer living in London follows people in the hope of using their lives in his novels, but the hobby becomes an obsession and he soon finds himself going further than intended.","1998"
"33","Christopher Nolan","Thriller","Memento","8.5","A man with short-term memory loss attempts to track down his wife's murderer.","2000"
"34","Christopher Nolan","Thriller","Insomnia ","7.2","Two Los Angeles homicide detectives are dispatched to a northern town where the sun doesn't set to investigate the methodical murder of a local teen.","2002"
"35","Christopher Nolan","Action","Batman Begins ","8.2","After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.","2005"
"36","Christopher Nolan","Drama","The Prestige","8.5","After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","2006"
"37","Christopher Nolan","Action","The Dark Knight","9","When the menace known as The Joker emerges from his mysterious past, he wreaks havoc and chaos on the people of Gotham. The Dark Knight must accept one of the greatest psychological and physical tests of his ability to fight injustice.","2008"
"38","Christopher Nolan","Action","The Dark Knight Rises","8.4","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane.","2012"
"39","Christopher Nolan","Action","Dunkirk","8.4","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane.","2017"
"40","Quentin Tarantino","Thriller","Reservoir Dogs","8.3","When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.","1992"
"41","Quentin Tarantino","Drama","Pulp Fiction","8.9","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","1994"
"42","Quentin Tarantino","Thriller","Jackie Brown","7.5","A middle-aged woman finds herself in the middle of a huge conflict that will either make her a profit or cost her life.","1997"
"43","Quentin Tarantino","Action","Kill Bill: Volume 1","8.1","After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","2003"
"45","Quentin Tarantino","Action","Death Proof","7","Two separate sets of voluptuous women are stalked at different times by a scarred stuntman who uses his &quot;death proof&quot; cars to execute his murderous plans.","2007"
"46","Quentin Tarantino","Drama","Inglourious Basterds","8.3","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","2009"
"47","Quentin Tarantino","Action","Django Unchained","8.4","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.","2012"
